,value
2142,13.61
2143,7.67
2144,10.33
2145,11.94
2146,16.44
2147,32.17
2148,26.0
2149,38.83
2150,12.78
2151,38.28
2152,33.5
2153,22.5
2154,27.17
2155,29.94
2156,27.83
2157,7.78
2158,12.83
2159,15.28
2160,9.11
2161,9.22
2162,9.83
2163,8.44
2164,11.5
2165,8.0
2166,12.89
2167,4.56
2168,15.83
2169,9.61
2170,10.17
2171,12.22
2172,9.61
2173,9.0
2174,6.67
2175,3.94
2176,16.33
2177,10.0
2178,8.67
2179,11.06
2180,5.44
2181,6.61
2182,3.44
2183,7.44
2184,13.67
2185,5.56
2186,11.11
2187,8.11
2188,15.72
2189,8.61
2190,12.67
2191,13.06
2192,10.39
2193,7.5
2194,4.11
2195,5.5
2196,11.56
2197,3.83
2198,8.22
2199,6.5
2200,4.33
2201,7.72
2202,14.0
2203,5.11
2204,8.56
2205,6.39
2206,4.0
2207,2.56
2208,8.89
2209,6.11
2210,6.67
2211,10.0
2212,8.56
2213,5.22
2214,13.22
2215,8.94
2216,14.33
2217,7.56
2218,14.67
2219,5.61
2220,11.44
2221,9.44
2222,6.11
2223,8.22
2224,10.17
2225,8.83
2226,6.61
2227,6.0
2228,6.83
2229,10.78
2230,12.44
2231,9.83
2232,5.89
2233,5.78
2234,12.39
2235,9.11
2236,15.11
2237,16.0
2238,6.72
2239,11.06
2240,8.78
2241,12.56
2242,14.78
2243,2.78
2244,6.17
2245,8.89
2246,9.83
2247,8.67
2248,6.78
2249,5.11
2250,11.33
2251,8.33
2252,5.83
2253,6.11
2254,5.67
2255,19.0
2256,11.89
2257,5.39
2258,5.17
2259,10.78
2260,9.5
2261,11.28
2262,8.44
2263,10.94
2264,5.44
2265,7.44
2266,7.0
2267,8.17
2268,11.94
2269,11.06
2270,8.56
2271,9.0
2272,6.78
2273,5.11
2274,8.17
2275,3.94
2276,4.67
2277,8.72
2278,4.44
2279,4.72
2280,5.56
2281,7.5
2282,6.56
2283,5.72
2284,0.78
2285,4.44
2286,6.44
2287,4.06
2288,4.78
2289,5.72
2290,7.61
2291,4.33
2292,7.11
2293,3.11
2294,3.22
2295,4.44
2296,2.5
2297,7.0
2298,2.39
2299,1.56
2300,1.72
2301,2.11
2302,1.83
2303,2.61
2304,5.61
2305,6.67
2306,0.72
2307,0.72
2308,4.89
2309,3.06
2310,1.67
2311,1.5
2312,3.33
2313,4.11
2314,2.61
2315,5.11
2316,0.72
2317,2.67
2318,1.72
2319,2.11
2320,0.72
2321,1.39
2322,0.67
2323,4.33
2324,2.44
2325,2.89
2326,2.17
2327,2.94
2328,0.78
2329,1.56
2330,1.28
2331,1.67
2332,2.22
2333,2.56
2334,4.28
2335,1.17
2336,0.89
2337,0.94
2338,0.89
2339,0.67
2340,0.78
2341,3.83
2342,1.22
2343,1.0
2344,0.67
2345,0.78
2346,3.17
2347,0.67
2348,1.56
2349,0.72
2350,1.56
2351,4.94
2352,0.61
2353,1.33
2354,2.06
2355,1.39
2356,2.72
2357,3.39
2358,2.33
2359,0.0
2360,4.33
2361,4.33
2362,3.56
2363,4.11
2364,4.72
2365,2.33
2366,4.72
2367,2.72
2368,3.61
2369,6.39
2370,5.33
2371,8.39
2372,2.39
2373,3.28
2374,8.06
2375,7.22
2376,5.67
2377,11.39
2378,8.06
2379,4.22
2380,2.89
2381,5.39
2382,7.0
2383,8.94
2384,13.06
2385,13.0
2386,13.17
2387,5.94
2388,9.0
2389,11.06
2390,8.89
2391,17.39
2392,14.11
2393,9.83
2394,7.78
2395,14.56
2396,19.0
2397,43.06
2398,36.33
2399,14.17
2400,26.61
2401,22.11
2402,15.22
2403,20.56
2404,17.06
2405,6.5
2406,13.56
2407,7.06
2408,13.11
2409,10.67
2410,11.61
2411,12.33
2412,7.72
2413,9.33
2414,10.56
2415,10.44
2416,13.06
2417,5.17
2418,9.67
2419,4.0
2420,10.72
2421,8.61
2422,6.94
2423,15.5
2424,7.11
2425,8.22
2426,9.83
2427,6.89
2428,10.11
2429,10.39
2430,9.61
2431,12.67
2432,12.17
2433,9.28
2434,12.44
2435,7.67
2436,9.44
2437,10.94
2438,4.94
2439,7.78
2440,5.44
2441,10.0
2442,5.56
2443,9.56
2444,8.78
2445,5.11
2446,3.78
2447,5.67
2448,9.22
2449,4.11
2450,10.28
2451,14.28
2452,5.56
2453,11.78
2454,10.39
2455,8.56
2456,4.33
2457,6.39
2458,12.44
2459,7.33
2460,6.5
2461,7.11
2462,16.94
2463,11.78
2464,11.06
2465,10.89
2466,5.22
2467,2.56
2468,10.61
2469,3.78
2470,15.33
2471,13.17
2472,10.61
2473,6.22
2474,14.94
2475,13.22
2476,12.11
2477,7.83
2478,10.94
2479,6.94
2480,10.0
2481,0.61
2482,10.5
2483,6.78
2484,9.33
2485,8.28
2486,10.78
2487,5.67
2488,7.17
2489,7.17
2490,7.33
2491,7.11
2492,6.28
2493,4.39
2494,8.72
2495,9.94
2496,12.72
2497,10.0
2498,9.39
2499,8.06
